"Address","Content Type","Status Code","Status","HTTP Version","Indexability","Indexability Status","Canonical Link Element 1","Meta Robots 1","X-Robots-Tag 1"
"https://www.powerworksgarage.com/makes/lexus","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/makes/maserati","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/logos/jeep.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.powerworksgarage.com/Icons/brakes.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.powerworksgarage.com/makes/bentley","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/logos/maserati.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.powerworksgarage.com/logos/mini.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.powerworksgarage.com/ask-glenn","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/signature-gp.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.powerworksgarage.com/logos/bmw.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.powerworksgarage.com/logos/rollsroyce.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.powerworksgarage.com/its-glenn.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://www.powerworksgarage.com/porsche.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.powerworksgarage.com/vw.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.powerworksgarage.com/logos/nissan.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.powerworksgarage.com/fleet-service-dubai","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/makes/lamborghini","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/makes/dodge","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/logos/honda.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.powerworksgarage.com/makes/aston-martin","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/makes/honda","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/makes/bmw","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/logos/dodge.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.powerworksgarage.com/makes/mini","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/makes/nissan","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/pwg_slide2.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://www.powerworksgarage.com/makes/mazda","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/car-servicing-dubai/pre-purchase-inspection-dubai","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/makes/jeep","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/car-servicing-dubai/brake-service-dubai","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/makes/land-rover","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/car-servicing-dubai/transmission-repair-dubai/lamborghini","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/car-servicing-dubai/transmission-repair-dubai/aston-martin","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/car-servicing-dubai/transmission-repair-dubai/lexus","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/car-servicing-dubai/transmission-repair-dubai/porsche","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/car-servicing-dubai/transmission-repair-dubai/jaguar","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/car-servicing-dubai/transmission-repair-dubai/chevrolet","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/car-servicing-dubai/transmission-repair-dubai/land-rover","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/car-servicing-dubai/transmission-repair-dubai/bentley","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/car-servicing-dubai/transmission-repair-dubai/volkswagen","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/car-servicing-dubai/transmission-repair-dubai/mazda","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/car-servicing-dubai/transmission-repair-dubai/rolls-royce","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/car-servicing-dubai/transmission-repair-dubai/jeep","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/car-servicing-dubai/transmission-repair-dubai/mini","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/car-servicing-dubai/transmission-repair-dubai/gmc","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/car-servicing-dubai/transmission-repair-dubai/dodge","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/car-servicing-dubai/transmission-repair-dubai/range-rover","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/car-servicing-dubai/transmission-repair-dubai/bmw","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/header-parts.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://www.powerworksgarage.com/car-servicing-dubai/transmission-repair-dubai/mercedes","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/car-servicing-dubai/transmission-repair-dubai/nissan","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/car-servicing-dubai/transmission-repair-dubai/toyota","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/car-servicing-dubai/transmission-repair-dubai/honda","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/car-servicing-dubai/transmission-repair-dubai/ford","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/car-servicing-dubai/transmission-repair-dubai/audi","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/car-servicing-dubai/transmission-repair-dubai/maserati","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/car-servicing-dubai/transmission-repair-dubai/ferrari","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/car-servicing-dubai/transmission-repair-dubai/infiniti","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/car-servicing-dubai/car-service-dubai/range-rover","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/car-servicing-dubai/car-service-dubai/gmc","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/car-servicing-dubai/car-service-dubai/nissan","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/car-servicing-dubai/car-service-dubai/lexus","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/car-servicing-dubai/car-service-dubai/land-rover","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/car-servicing-dubai/car-service-dubai/ferrari","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
